index,duration,item,network,network_type
483,1,sms,Three,mobile
484,1,sms,Three,mobile
485,1,sms,Three,mobile
486,1,sms,Three,mobile
487,1,sms,Three,mobile
488,1,sms,Three,mobile
489,1,sms,Three,mobile
490,1,sms,Three,mobile
491,1,sms,Three,mobile
492,1,sms,Three,mobile
493,1,sms,Three,mobile
494,1,sms,Three,mobile
495,1,sms,Three,mobile
496,34.429,data,data,data
497,5,call,Meteor,mobile
498,358,call,Meteor,mobile
499,526,call,landline,landline
500,1,sms,Vodafone,mobile
501,1,sms,Vodafone,mobile
502,1,sms,Vodafone,mobile
503,1,sms,Vodafone,mobile
504,34.429,data,data,data
505,34.429,data,data,data
506,640,call,Vodafone,mobile
507,1,sms,Meteor,mobile
508,1,sms,Meteor,mobile
509,34.429,data,data,data
510,158,call,Vodafone,mobile
511,104,call,Three,mobile
512,34.429,data,data,data
513,3,call,Vodafone,mobile
514,6,call,Vodafone,mobile
515,41,call,Vodafone,mobile
516,34.429,data,data,data
517,56,call,landline,landline
518,128,call,landline,landline
519,77,call,Three,mobile
520,5,call,Three,mobile
521,1,sms,Three,mobile
522,1,sms,Three,mobile
523,144,call,landline,landline
524,99,call,Meteor,mobile
525,60,call,landline,landline
526,682,call,Three,mobile
527,36,call,Tesco,mobile
528,734,call,Three,mobile
529,34.429,data,data,data
530,1,sms,Three,mobile
531,1,sms,Three,mobile
532,16,call,Meteor,mobile
533,295,call,Vodafone,mobile
534,1,sms,Vodafone,mobile
535,106,call,Meteor,mobile
536,29,call,Vodafone,mobile
537,34.429,data,data,data
538,1,sms,Vodafone,mobile
539,1,sms,Vodafone,mobile
540,1,sms,Vodafone,mobile
541,34.429,data,data,data
542,4,call,Meteor,mobile
543,3,call,Meteor,mobile
544,23,call,Meteor,mobile
545,290,call,Tesco,mobile
546,1,sms,Vodafone,mobile
547,12,call,Tesco,mobile
548,1247,call,Three,mobile
549,1,sms,Vodafone,mobile
550,1,sms,Vodafone,mobile
551,1,sms,Vodafone,mobile
552,1,sms,Vodafone,mobile
553,1,sms,Vodafone,mobile
554,1,sms,Vodafone,mobile
555,34.429,data,data,data
556,1,sms,Meteor,mobile
557,33,call,Three,mobile
558,4,call,Vodafone,mobile
559,57,call,Vodafone,mobile
560,34.429,data,data,data
561,2,call,Three,mobile
562,6,call,Vodafone,mobile
563,398,call,Vodafone,mobile
564,412,call,Meteor,mobile
565,568,call,Three,mobile
566,1,sms,Vodafone,mobile
567,1,sms,Vodafone,mobile
568,34.429,data,data,data
569,1,sms,Vodafone,mobile
570,201,call,Three,mobile
571,34.429,data,data,data
572,18,call,Meteor,mobile
573,7,call,Meteor,mobile
574,4,call,Three,mobile
575,1,sms,Vodafone,mobile
576,1,sms,Vodafone,mobile
577,34.429,data,data,data
578,503,call,Three,mobile
579,1,sms,Three,mobile
580,1,sms,Three,mobile
581,1,sms,Three,mobile
582,1,sms,Vodafone,mobile
583,1,sms,Vodafone,mobile
584,105,call,landline,landline
585,466,call,landline,landline
586,34.429,data,data,data
587,13,call,landline,landline
588,397,call,Three,mobile
589,36,call,Three,mobile
590,1,sms,Vodafone,mobile
591,1,sms,Vodafone,mobile
592,1,sms,Three,mobile
593,1,sms,Three,mobile
594,34.429,data,data,data
595,28,call,Three,mobile
596,1,sms,special,special
597,168,call,Tesco,mobile
598,34.429,data,data,data
599,1,call,Meteor,mobile
600,61,call,Meteor,mobile
601,14,call,Three,mobile
602,20,call,Three,mobile
603,411,call,Tesco,mobile
604,1,sms,Vodafone,mobile
605,1,sms,Vodafone,mobile
606,1,sms,Vodafone,mobile
607,1,sms,Vodafone,mobile
608,1,sms,Three,mobile
609,1,sms,Three,mobile
610,34.429,data,data,data
611,78,call,Three,mobile
612,82,call,Tesco,mobile
613,34.429,data,data,data
614,478,call,Three,mobile
615,700,call,Tesco,mobile
616,34.429,data,data,data
617,1,sms,Vodafone,mobile
618,103,call,Tesco,mobile
619,53,call,Tesco,mobile
620,38,call,Tesco,mobile
621,34.429,data,data,data
622,1,sms,Vodafone,mobile
623,1,sms,Vodafone,mobile
624,1,sms,Vodafone,mobile
625,34.429,data,data,data
626,48,call,Three,mobile
627,93,call,voicemail,voicemail
628,1,sms,Vodafone,mobile
629,27,call,voicemail,voicemail
630,265,call,Three,mobile
631,777,call,Tesco,mobile
632,1090,call,Meteor,mobile
633,491,call,Vodafone,mobile
634,34.429,data,data,data
635,41,call,voicemail,voicemail
636,1107,call,Vodafone,mobile
637,34.429,data,data,data
638,29,call,landline,landline
639,200,call,Tesco,mobile
640,129,call,Three,mobile
641,1,sms,Vodafone,mobile
642,1,sms,Vodafone,mobile
643,1,sms,Vodafone,mobile
644,206,call,Tesco,mobile
645,34.429,data,data,data
646,34.429,data,data,data
647,4,call,Vodafone,mobile
648,1863,call,Three,mobile
649,34.429,data,data,data
650,104,call,Three,mobile
651,501,call,Three,mobile
652,34.429,data,data,data
653,37,call,Three,mobile
654,36,call,Meteor,mobile
655,34.429,data,data,data
656,8,call,Vodafone,mobile
657,7,call,landline,landline
658,272,call,landline,landline
659,34.429,data,data,data
660,1,sms,Vodafone,mobile
661,1,sms,Vodafone,mobile
662,255,call,Tesco,mobile
663,1,sms,Vodafone,mobile
664,362,call,Three,mobile
665,100,call,Tesco,mobile
666,74,call,Tesco,mobile
667,34.429,data,data,data
668,33,call,Tesco,mobile
669,45,call,Tesco,mobile
670,34.429,data,data,data
671,31,call,Tesco,mobile
672,7,call,Vodafone,mobile
673,34.429,data,data,data
674,103,call,landline,landline
675,34.429,data,data,data
676,280,call,Tesco,mobile
677,183,call,Tesco,mobile
678,1,sms,Tesco,mobile
679,1,sms,Tesco,mobile
680,1,sms,Three,mobile
681,1,sms,Three,mobile
682,7,call,landline,landline
683,34.429,data,data,data
684,6,call,Three,mobile
685,34.429,data,data,data
686,21,call,voicemail,voicemail
687,227,call,Tesco,mobile
688,1,sms,special,special
689,34.429,data,data,data
690,62,call,voicemail,voicemail
691,91,call,landline,landline
692,34.429,data,data,data
693,24,call,voicemail,voicemail
694,128,call,Vodafone,mobile
695,23,call,Three,mobile
696,51,call,Three,mobile
697,34.429,data,data,data
698,1,sms,Vodafone,mobile
699,1,sms,Vodafone,mobile
700,119,call,Vodafone,mobile
701,1,sms,Vodafone,mobile
702,4,call,Three,mobile
703,1,sms,Vodafone,mobile
704,1,sms,Three,mobile
705,1,sms,Three,mobile
706,1,sms,Three,mobile
707,1,sms,Three,mobile
708,141,call,landline,landline
709,795,call,Three,mobile
710,121,call,Tesco,mobile
711,2,call,Three,mobile
712,1,sms,Three,mobile
713,1,sms,Three,mobile
714,1,sms,Three,mobile
715,34.429,data,data,data
716,80,call,landline,landline
717,34.429,data,data,data
718,653,call,Three,mobile
719,729,call,Three,mobile
720,89,call,Three,mobile
721,1,sms,Vodafone,mobile
722,1,sms,Meteor,mobile
723,1,sms,Vodafone,mobile
724,1,sms,Vodafone,mobile
725,34.429,data,data,data
726,1,sms,Vodafone,mobile
727,34.429,data,data,data
728,34.429,data,data,data
729,69,call,landline,landline
730,86,call,Tesco,mobile
731,34.429,data,data,data
732,451,call,Vodafone,mobile
733,8,call,Vodafone,mobile
734,34.429,data,data,data
735,106,call,Three,mobile
736,148,call,Tesco,mobile
737,34.429,data,data,data
738,21,call,landline,landline
739,34.429,data,data,data
740,34.429,data,data,data
741,24,call,Meteor,mobile
742,2328,call,Three,mobile
743,34.429,data,data,data
744,165,call,Tesco,mobile
745,94,call,Three,mobile
746,34.429,data,data,data
747,1,sms,Vodafone,mobile
748,1,sms,Vodafone,mobile
749,1,sms,Vodafone,mobile
750,1,sms,Vodafone,mobile
751,34.429,data,data,data
752,68,call,Vodafone,mobile
753,34.429,data,data,data
754,34.429,data,data,data
755,34.429,data,data,data
756,182,call,landline,landline
757,34.429,data,data,data
758,107,call,voicemail,voicemail
759,1,sms,Three,mobile
760,1,sms,Three,mobile
761,34.429,data,data,data
762,117,call,Tesco,mobile
763,129,call,Vodafone,mobile
764,356,call,Three,mobile
765,1,sms,Tesco,mobile
766,1,sms,Tesco,mobile
767,1,sms,Tesco,mobile
768,1,sms,Tesco,mobile
769,194,call,Tesco,mobile
770,229,call,Tesco,mobile
771,32,call,Vodafone,mobile
772,34.429,data,data,data
773,570,call,Vodafone,mobile
774,29,call,voicemail,voicemail
775,34.429,data,data,data
776,27,call,Three,mobile
777,107,call,Three,mobile
778,128,call,Vodafone,mobile
779,34.429,data,data,data
780,335,call,landline,landline
781,49,call,Meteor,mobile
782,5,call,Three,mobile
783,305,call,landline,landline
784,207,call,landline,landline
785,11,call,landline,landline
786,3,call,landline,landline
787,33,call,landline,landline
788,357,call,Three,mobile
789,1,sms,Vodafone,mobile
790,1,sms,Three,mobile
791,34.429,data,data,data
792,9,call,Meteor,mobile
793,34.429,data,data,data
794,1,sms,Vodafone,mobile
795,1,sms,Vodafone,mobile
